uid,lat,lon,aqi,station_name,recorded_at,etl_insert_ts,etl_update_ts
-375205,49.540487267443524,25.586529074848897,69,Tsehelnyi Lane,2023-08-22T05:42:00+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-375184,10.956636,-72.78727,17,Aire ciudadano Barrancas 696737,2023-08-22T05:43:20+09:00,2023-08-18 14:31:07.712099,2023-08-21 13:51:39.834293
-374926,18.98292181494,48.7353515625,51,Sharurah,2023-08-22T05:41:28+09:00,2023-08-18 14:31:07.712099,2023-08-21 13:51:39.834293
-374872,42.473427,-73.79425,97,Clean Air Coalition of Greater Ravena-Coeymans / Capital Region Air Justice Lab #11 (Coeymans) Info at: www.mediasanctuary.org/ajl,2023-08-22T05:41:35+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-373873,50.99933,3.31708,56,Deken Demolstraat,2023-08-22T05:41:53+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-373708,49.04516094565386,24.34434906441796,161,Bohdana Khmelnytskoho Street,2023-08-19T04:35:00+09:00,2023-08-18 14:31:07.712099,2023-08-18 14:31:07.712099
-373552,2.453,-76.632004,17,AireCiudadano Popayan MO fecd6e,2023-08-22T05:43:36+09:00,2023-08-18 14:31:07.712099,2023-08-21 13:51:39.834293
-373384,44.76,37.726,24,Svobody Street,2023-08-22T05:42:35+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-373318,55.75,48.746,8,Sportivnaya street,2023-08-22T05:42:43+09:00,2023-08-18 14:31:07.712099,2023-08-21 13:51:39.834293
-373285,4.61,74.0,73,Abago Ecolufe Camelia d99d0b,2023-08-19T04:36:06+09:00,2023-08-18 14:31:07.712099,2023-08-18 14:31:07.712099
-373252,18.071857,102.62527,115,AQSEA_LAO_025,2023-08-22T05:42:36+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-373204,-17.70092,-63.152519,4,E3 Bolivia SCZ 6d5848,2023-08-19T04:36:05+09:00,2023-08-18 14:31:07.713169,2023-08-18 14:31:07.713169
-373051,4.71192,-74.135323,99,Abago Bogent villateresita ce0ba0,2023-08-22T05:43:52+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-373042,5.5381,-73.633003,38,Asoalfra Raquira 3 27f460,2023-08-22T05:43:42+09:00,2023-08-18 14:31:07.713169,2023-08-21 13:51:39.834293
-372709,17.64457,105.17427,45,AQSEA_LAO_023,2023-08-19T04:31:24+09:00,2023-08-18 14:31:07.713169,2023-08-18 14:31:07.713169
-372688,59.124,37.91,70,Московский проспект,2023-08-22T05:40:53+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-372562,15.3939875,104.8531394,75,"Phaeng Yai, gaia-01",2023-08-19T04:36:28+09:00,2023-08-18 14:31:07.713169,2023-08-18 14:31:07.713169
-372415,55.328,86.106,31,улица Свободы,2023-08-22T05:40:54+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-371773,19.573261,99.796078,170,องค์การบริหารส่วนตำบลสันติสุข,2023-08-22T05:41:04+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-371371,55.034,73.462,17,Краснознамённая улица,2023-08-22T05:40:38+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-370936,46.14231,-60.17257,70,AQSU-2664,2023-08-22T05:42:07+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-370834,3.343,-76.525,25,Parcelaciones Pance,2023-08-19T04:36:38+09:00,2023-08-18 14:31:07.713169,2023-08-18 14:31:07.713169
-370216,21.000658,101.40459,41,AQSEA_LAO_021,2023-08-19T04:34:55+09:00,2023-08-18 14:31:07.713169,2023-08-18 14:31:07.713169
-370204,14.804101,106.83814,47,AQSEA_LAO_020,2023-08-22T05:41:31+09:00,2023-08-18 14:31:07.713169,2023-08-21 13:51:39.834293
-370063,19.455599,103.20289,32,AQSEA_LAO_018,2023-08-22T05:41:50+09:00,2023-08-18 14:31:07.713169,2023-08-21 13:51:39.834293
